SID,FAMILIA,GenusEspecies,NombreComun,OvinosAlpacas,Vacas,Llamas,2010obs,2011obs,TotalObs
71,GR,Festuca dichoclada Pilger,Yulac cachi,PD,PD,PD,3,21,24
72,GR,Festuca dolichophylla Presl,Cachi;Chiliwa,PD,MD,MD,35,18,53
73,GR,Festuca glyceriantha Pilger,,PD,PD,PD,0,7,7
74,GR,Festuca huamachucensis Infantes,,PD,PD,PD,3,0,3
75,GR,Festuca peruviana Infantes,Cebadilla cachi,D,PD,PD,8,20,28
76,GR,Festuca rigescens (Presl) Kunth,,PD,PD,PD,7,9,16
77,GR,Festuca rigidifolia Tovar,,PD,PD,PD,0,6,6
78,GR,Festuca weberauerii Pilger,Llullac cachi,PD,D,D,8,3,11
79,GR,Hordeum muticum Presl,Ucushpa chupan;Cola de ratón,MD,MD,MD,19,44,63
80,GR,Muhlembergia fastigiata (Presl) Henrad,Grama,MD,MD,MD,75,38,113
81,GR,Muhlembergia ligularis (Hackel) Hitchcock,Coccho pasto;Atun chiji,MD,PD,PD,161,340,501
82,GR,Muhlembergia peruviana (P.Beauvois) Steudel,Janan pasto;Cushu pajonal,MD,NC,PD,139,149,288
83,GR,Nasella pubiflora (Trinius et Ruprecht) Desvaux ,Plumilla;Tullma tullma,PD,PD,PD,10,3,13
84,GR,Paspalum lineispatha Mez.,Jirca wecta;Sogo champa,D,PD,PD,0,11,11
85,GR,Paspalum pilgerianum Chase,Jirca wecta;Sogo champa,D,PD,PD,25,21,46
86,GR,Paspalum pygmaeum Hackel,,MD,NC,D,13,30,43
87,GR,Paspalum tuberosum Mez.,Jara wecta,D,PD,PD,0,3,3
88,GR,Paspalum vigatum,,D,PD,PD,0,18,18
89,GR,Penisetum clandestinum Hoshstetter,Kikuyo;Grama,D,D,D,25,74,99
90,GR,Piptochaetum sp.,,PD,PD,PD,0,2,2
91,GR,Piptochaetum featherstonei (Hitchcook) Tóvar,Condorpa cebollan,PD,PD,PD,7,7,14
92,GR,Piptochaetum panicoides (Lam.) Desv.,Espiga ocsha;Condorpa cebollan,PD,PD,PD,1,6,7
93,GR,Poa aeguigluma Tóvar,Pacha pasto,D,PD,PD,33,114,147
94,GR,Poa amnua Linneo,Shoclla;Ocsha champa,MD,D,D,132,163,295
95,GR,Poa aspesiflora Hack,Cocchu ocsha,PD,PD,PD,2,5,7
96,GR,Poa candamoana Pilger,Altu shoclla,MD,PD,PD,45,42,87
97,GR,Poa fibrifera Pilger,Ocsha,D,D,D,3,2,5
98,GR,Poa gilgiana Pilger,Machay shoclla,D,MD,MD,38,14,52
99,GR,Poa gymnatha,,D,MD,MD,28,14,42
100,GR,Poa infirma Kunth,Champa cora,D,PD,PD,6,16,22
101,GR,Poa ovata Tóvar,Patza champa,PD,PD,PD,13,3,16
102,GR,Poa spicigera Tóvar,Patza hueta;Shoclla;Ocsha champa,D,PD,PD,2,9,11
103,GR,Poa subspicata (Presl) Kunth,Ocsha,MD,PD,PD,2,12,14
104,GR,Poidium monamdrum (Hackel) Mattei,Tembleque;Chucru ocsha,PD,PD,PD,3,10,13
105,GR,Polypogon elongatus HBK,Chucru ocsha;Oqu soclla,PD,NC,NC,7,2,9
106,GR,Sporobolus indicus,,PD,PD,PD,0,1,1
107,GR,Stipa brachyphylla Hitchcock,Grano ichu,D,PD,MD,3,33,36
108,GR,Stipa depauperata Pilger,,PD,PD,D,4,1,5
109,GR,Stipa hans-meyeri Pilger,Puka hueta ocsha,PD,PD,PD,3,7,10
110,GR,Stipa ichu (Ruiz & Pavón) Kunth,Ichu;Peckoj;Llama ichu,PD,PD,PD,33,9,42
111,GR,Stipa mexicana Hitchcock,Centeno ocsha,PD,D,D,23,5,28
112,GR,Stipa mucronata HBK,Grama ichu,D,D,D,4,16,20
113,GR,Stipa obtusa (Nees & Mey),Cocchu ocsha,PD,D,D,4,7,11
114,GR,Stipa smithii Hitchcock,Pashu ocsha,PD,PD,PD,3,0,3
115,GR,Trisetum spicatum (Linneo) Richter,Soclla kora,PD,PD,PD,5,11,16
116,GR,Vulpia australis (Ness) Blom,Pajilla,PD,PD,PD,2,0,2
117,GR,Vulpia bromoides (L.) Gray,Pajilla,PD,PD,PD,3,0,3
118,GR,Vulpia myuros (Linnaeus),Pajilla,PD,PD,PD,0,5,5
119,HY,Elodea potamogeton,Llachu,D,D,D,1,1,2
120,IR,Sisyrinchium junceum Meyen,Maquilina cora;Canastilla,PD,PD,PD,4,11,15
121,JU,Distichia humilis,,D,PD,PD,2,0,2
122,JU,Distichia muscoides Ness & Meyen,Kunkush;Tiña,MD,NC,PD,81,46,127
123,JU,Distichia sp.,,D,NC,NC,14,0,14
124,JU,Juncus articus var.andicola ,Totora cora,PD,PD,PD,1,0,1
125,JU,Juncus brunneus Buchenau,Ututo,PD,PD,PD,14,4,18
126,JU,Juncus bufonius Linneo,Casha huaylla;Ichic mutu,D,PD,PD,24,3,27
127,JU,Luzula peruviana Desvaux,Puchca pasto;Umasutu,PD,PD,PD,10,22,32
128,JU,Luzula racemosa Desvaux,Junquillo; Secse,PD,PD,PD,0,2,2
129,JU,Oxichloe andina,,NC,NC,PD,6,5,11
130,LA,Lepechinia meyenii,Pachasalvia,PD,PD,PD,14,34,48
131,LA,Salvia sp.,,n-c,n-c,n-c,0,1,1
132,LE,Astragalus garbancillo Cav.,Garbancillo;Garbanzo cora,PD,PD,PD,27,19,46
133,LE,Lupinus sp.,Chocho silvestre;Tarwi silvestre,NC,NC,NC,10,10,20
134,LE,Medicago hispida Gaert.,Tribol pasto;Carretilla,D,D,D,3,59,62
135,LE,Trifolium amabilie H.B.K.,Layo;Jirca tribol,MD,PD,PD,155,159,314
136,LE,Trifolium repens Linneo,Trébol blanco,MD,MD,MD,21,41,62
137,LE,Vicia andicola H.B.K.,Pacha talhui,PD,PD,PD,4,8,12
138,MA,Acaulimalva engleriana (Ulbrich) Krapov.,Jirca makey,PD,PD,PD,18,15,33
139,MA,Nototriche acaulis (Cavanilles) Krapov.,Jirca racacha;Azul tucto,D,PD,PD,23,23,46
140,PL,Plantago australis V.hirtella H.B.K.,Llánten,D,PD,PD,41,20,61
141,PL,Plantago lamprophylla Pilger,,PD,NC,NC,7,2,9
142,PL,Plantago rigida H.B.K.,Occo pasto;Pasto estrella,D,PD,PD,138,64,202
143,RA,Ranunculus praemorsus H.B.K.,Waranisa;Alljupa-lajchin,PD,D,D,5,14,19
144,RO,Alchemilla diplophylla Diels ,Yacu pasto;Libro libro,MD,NC,PD,20,78,98
145,RO,Alchemilla erodifolia,,MD,NC,D,34,16,50
146,RO,Alchemilla pinnata Ruiz & Pavón,Sillu sillu;Latac pasto,MD,NC,D,306,407,713
147,RO,Tetraglochin strictum Poepp.,,n-c,n-c,n-c,2,3,5
148,SA,Quinchamalium procumbens Ruiz & Pavón,Chinchimallin cora;Gusanera,PD,PD,PD,22,17,39
149,SC,Castilleja sp.,Miskiqo,PD,PD,PD,0,9,9
150,UR,Urtica sp.,,NC,NC,NC,0,3,3
