BRP,PN-P1,PN-P2,PN-LL1,PN-LL2,PN-LL3,PN-PC1,PN-U1,PN-U2,PN-U3,PN-U4,PN-H1,PN-H2,PN-QP1,PN-QP2,PN-QP3,PN-QP4,PN-QC1,PN-QC2,PN-QC3,PN-T1,PN-T2
M,12.33,0,0,3,0.67,1,1,4.33,,5.67,6.67,4,1,11,0,,4.67,2.67,4,4.33,2
P,3.67,0.67,0,1,0.33,0,0,0,,3.67,1,2.33,0,1,0,,0,0,0.33,2,0
L,1,0,0.67,0,0,0.33,0,0,,0.33,0,0,0,0.33,0,,0.33,0,0.67,1,0.33
R,0,0,0,0,0,0.33,0,0,,0,0.67,0,0,0,0,,0,0,0,0.33,0
B,0,0.33,0,0,0,0,0,0,,1,1,5.33,0,0.33,0,,0,2.67,0.33,0,0
