"SPID","PN-P1","PN-P2","PN-LL1","PN-LL2","PN-LL3","PN-PC1","PN-U1","PN-U2","PN-U3","PN-H1","PN-H2","PN-QP1","PN-QP2","PN-QP3","PN-QP4","PN-QC1","PN-QC2","PN-QC3","PN-T1","PN-T2"
"81","7.666666667","5.666666667","6.666666667","","5.333333333","4.5","1","","","","","8.666666667","","","","2","7.5","6","3.5","","5.5"
"82","0.666666667","","0.666666667","3.666666667","1.666666667","3.5","","7","5","","9.333333333","5","8.5","","3","","1.5","","1","2","1.5"
"83","","","","","","","","","","","3.333333333","","","","","","","","","",""
"84","","","","","","","","","","","","","","","","","","","","",""
"85","","","2","","0.666666667","1.5","","","","","","","","","","5","","","1.5","","3"
"86","","","","","","","","","","","","","4.5","","","","2","","","",""
"87","","","","","","","","","","","","","","","","","","","","",""
"88","","","","","","","","","","","","","","","","","","","","",""
"89","","","","","0.666666667","","7.666666667","","","","","","","","","","","","","",""
"90","","","","","","","","","","","","","","","","","","","","",""
"91","","2","","","","","0.333333333","","","","","","","","","","","","","",""
"92","","","","","","","","","","","","","","","","","","","0.5","",""
"93","","","0.666666667","","0.666666667","","","2","","","1.666666667","","","3.5","2","3","","","","4",""
"94","2.333333333","5","2.666666667","","0.666666667","5.5","1.666666667","","","","6.666666667","7.333333333","","","4","9","","5","1","2","5.5"
"95","","","","","","","","","0.666666667","","","","","","","","","","","",""
"96","","","1","2","2","","4","","2.333333333","","2.666666667","1","","","","","","","","",""
"97","","","1","","","","","","","","","","","","","","","","","",""
"98","","4.666666667","","","0.666666667","","3.666666667","","","","","","","","","11","","","","",""
"99","1.666666667","1.333333333","1.666666667","","","2","","1.333333333","","","","","","","","","","","","","3"
"100","","","","","","","2","","","","","","","","","","","","","",""
"101","","","4.333333333","","","","","","","","","","","","","","","","","",""
"102","","","","","","","","0.666666667","","","","","","","","","","","","",""
"103","","","","","","","","","0.666666667","","","","","","","","","","","",""
"104","","","","","","","1","","","","","","","","","","","","","",""
"105","","","","","1","","1.333333333","","","","","","","","","","","","","",""
"106","","","","","","","","","","","","","","","","","","","","",""
"107","","","","","","","","","","","","","","","","","1.5","","","",""
"108","","","","","","","","","1.333333333","","","","","","","","","","","",""
"109","","","","1","","","","","","","","","","","","","","","","",""
"110","","","","","","","","","4.666666667","","","","","","","","9.5","","","",""
"111","","","","","","","1","","6.666666667","","","","","","","","","","","",""
"112","","","","","","","1.333333333","","","","","","","","","","","","","",""
"113","","","","","","0.5","1","","","","","","","","","","","","","",""
"114","","","","","","","1","","","","","","","","","","","","","",""
"115","","","","","","","","0.666666667","","","","","","","","","","","","","1.5"
"116","","","","","","","0.666666667","","","","","","","","","","","","","",""
"117","","","","","","","1","","","","","","","","","","","","","",""
"118","","","","","","","","","","","","","","","","","","","","",""
"119","","","","","","","","","","","","","","0.5","","","","","","",""
"120","","","","","0.333333333","","","0.666666667","","","","","0.5","","","","","","","",""
"121","","","","","0.666666667","","","","","","","","","","","","","","","",""
"122","","","1.666666667","","","","","","","","","12","","15.5","4","","0.5","","","",""
"123","","","","","","","","","","","","","","7","","","","","","",""
"124","","","","","","","","","","","","","","","","","","","","","0.5"
"125","","","3","","","","","","","","","","","","","","","","","","2.5"
"126","","","4","","","","","","","","","","1.5","0.5","","","","","1","","3"
"127","","","","","","","","","","","1.333333333","1.333333333","","1","","","","","","",""
"128","","","","","","","","","","","","","","","","","","","","",""
"129","","","","","","","","","","","","","","3","","","","","","",""
"130","","","","","","","","","","","","","","","","","2","","3.5","","1.5"
"131","","","","","","","","","","","","","","","","","","","","",""
"132","","0.666666667","","","","","","","7.666666667","","","","1","","","","","","","",""
"133","","","","","","","2","","","","","","","","0.5","1","0.5","","0.5","",""
"134","","","","","","","1","","","","","","","","","","","","","",""
"135","0.666666667","3.333333333","3","","2.333333333","3.5","9.666666667","3.666666667","3.666666667","","8.666666667","7","5","","","","2","","","3","2.5"
"136","","","3.666666667","","1","","","","","","2.333333333","","","","","","","","","",""
"137","","","","","","","1.333333333","","","","","","","","","","","","","",""
"138","0.666666667","","","1.333333333","","","","","","","","","1","","","","","","2","","3"
"139","","","1.333333333","","","1","","","1.333333333","","","","","1","2","","","1.5","1","2",""
"140","","","1.333333333","","0.666666667","","4.666666667","0.666666667","","","0.333333333","2","1","","","","3.5","","","","1.5"
"141","","","","","","","2.333333333","","","","","","","","","","","","","",""
"142","","","","","","","","","","","","","","12.5","18.5","","","16.5","14.5","14",""
"143","","","","","1","","","","","","","","0.5","0.5","","","","","","",""
"144","","","2.333333333","","1.666666667","","","","","","","1","","1.5","","","","","","","1"
"145","","","","0.666666667","4.666666667","2.5","","1.666666667","","","2.666666667","","","","","","","","","",""
"146","4.666666667","6","6.666666667","","6.333333333","11.5","5","7.333333333","3.666666667","","7.333333333","8.333333333","18","","5","","5.5","1","9.5","15","12"
"147","","","","0.333333333","","","0.333333333","","","","","","","","","","","","","",""
"148","","","1.333333333","1","0.666666667","1.5","","","","","","0.666666667","","1.5","","","","","2.5","",""
"149","","","","","","","","","","","","","","","","","","","","",""
"150","","","","","","","","","","","","","","","","","","","","",""
